BTP,Institution,SB ID,Local ID,Sex,Age,Disposition,Location,Breeding,With,Notes,Facility_Note
2022,"LITTLEROC
Little Rock Zoological Gardens
Little Rock, AK",2654,7508,F,7,HOLD,LITTLEROC,BREED WITH,2634,,Facility Note: Juveniles will be sent out no earlier than June 2022.
2022,"LITTLEROC
Little Rock Zoological Gardens
Little Rock, AK",2714,7878,F,0,SEND TO,CLEVELAND,BREED WITH,2667,,Facility Note: Juveniles will be sent out no earlier than June 2022.
2022,"LITTLEROC
Little Rock Zoological Gardens
Little Rock, AK",2715,7879,M,0,SEND TO,NZP-WASH,BREED WITH,2708,,Facility Note: Juveniles will be sent out no earlier than June 2022.
2022,"MEMPHIS
Memphis Zoological Garden & Aquarium
Memphis, TN",2673,19M042,M,4,HOLD,MEMPHIS,BREED WITH,2683,,
2022,"MEMPHIS
Memphis Zoological Garden & Aquarium
Memphis, TN",2683,10M021,F,4,HOLD,MEMPHIS,BREED WITH,2673,,
2022,"MOODY
Aquarium & Rainforest at Moody Gardens
Galveston, TX",2638,6379,F,10,HOLD,MOODY,BREED WITH,2649,,
2022,"MOODY
Aquarium & Rainforest at Moody Gardens
Galveston, TX",2649,7832,M,9,HOLD,MOODY,BREED WITH,2638,,
2022,"NY BRONX
Bronx Zoo/Wildlife Conservation Society
Bronx, NY",2623,M14052,M,11,HOLD,NY BRONX,BREED WITH,2640,,Facility Note: Will receive female from CHCIAGOBR no earlier than August 2022.
2022,"NY BRONX
Bronx Zoo/Wildlife Conservation Society
Bronx, NY",2640,M14053,F,9,HOLD,NY BRONX,BREED WITH,2623,,Facility Note: Will receive female from CHCIAGOBR no earlier than August 2022.
2022,"NY BRONX
Bronx Zoo/Wildlife Conservation Society
Bronx, NY",2707,9545,F,1,RECEIVE FROM,CHICAGOBR,BREED WITH,2713,,Facility Note: Will receive female from CHCIAGOBR no earlier than August 2022.
2022,"NY BRONX
Bronx Zoo/Wildlife Conservation Society
Bronx, NY",2713,M21015,M,0,HOLD,NY BRONX,BREED WITH,2707,,Facility Note: Will receive female from CHCIAGOBR no earlier than August 2022.
